,wt_b,b,wt,a
0,656.5101278977596,16.22523113507415,2047.8027334235114,405.6702240704414
1,547.8537353428076,283.47290151489966,18.13995130828799,1590.7763827775957
2,12.433158919429841,835.219018569018,50.277350699361676,18.26428853252961
3,1859.811902289102,37.79130271523223,1317.0910336759314,50.87461390135711
4,10.764508960220612,722.9054630071637,1135.242805995185,1105.455924169235
5,44.94028401498832,563.3059555080139,1703.440846427692,845.0265339475894
6,1871.7076531744679,1136.1717904460324,2368.4905944222555,1469.3748970581207
7,1035.8529998970075,1344.7265388611045,2115.641491549409,2236.3216751959026
8,2632.273437447394,1178.321467746778,24.56743181249052,1190.317589648374
9,1933.3795030693905,11.51180114740435,600.8982847829714,495.9094495009081
10,1761.052737340058,368.9131152721445,694.0288064613361,1019.1980431745567
11,27.852398749907895,412.82958862092966,1136.061394798111,1455.0368200428863
12,689.3979412619807,568.5071703723788,1543.5956447491471,1003.3819271113015
13,981.9034083702661,1207.2292014880247,1484.4221511806206,204.3349003126635
14,1055.3250329868613,644.4731326398379,11.858839766823246,14.489007497755793
15,1853.8150612669585,148.1652391857256,223.8193463425071,735.6913376007984
16,1188.5408538649865,19.479533720844223,24.674901373458262,37.44682843637688
17,284.17078423214207,526.5901608081967,13.913581467927969,394.1083400107032
18,30.42710488600125,14.139751135169202,1172.9440229307675,715.9174173795991
19,15.713553182818776,264.9933281000072,18.13995130828799,98.83094655023318
20,1155.6533621471806,587.0654648170155,498.1728623373369,1558.6087230031828
21,22.970144930394166,127.14165571584081,1036.2386242320472,756.3846293167687
22,501.2607567748125,999.6212761783476,198.10948963479896,106.98505173932381
23,1452.7373400828117,418.1096651110942,1575.7276483809108,14.489007497755793
24,188.96681610992292,154.11612864716852,754.2922311352552,413.22639010020976
25,1482.7622796952428,224.76400932180593,224.8354639135504,
26,793.0796161497398,,470.10173960463504,
27,258.48709720847035,,,
28,116.2561931268701,,,
29,528.0645409568132,,,
