,wt_b,wt_b_genes,b,b_genes,wt,wt_genes,a,a_genes
0,84.33136908982041,PA14_03410,66.54990136202207,PA14_03410,131.83157355217335,PA14_03410,70.40879707451427,PA14_03410
1,50.602004819699694,PA14_07470,52.64537294328154,PA14_07470,160.50698132941108,PA14_07470,60.071325027270156,PA14_07470
2,147.82197755454266,PA14_08580,20.728222249587148,PA14_08110,78.0651801009358,PA14_08580,34.9660115897302,PA14_08580
3,1083.268604353653,PA14_08590,34.768129446121826,PA14_08580,1144.2446395608752,PA14_08590,570.6706864729534,PA14_08590
4,2116.771877356332,PA14_08660,613.5933710970826,PA14_08590,25.760369682583182,PA14_08610,1962.0187423697034,PA14_08660
5,3660.381839445436,PA14_08670,31.33131289920626,PA14_08610,2531.664449809622,PA14_08660,2134.2970575828117,PA14_08670
6,806.2236186085422,PA14_08690,1225.2087956334067,PA14_08660,2955.4329368296544,PA14_08670,555.8354495878223,PA14_08690
7,94.25177470801206,PA14_20500,1653.2062765075373,PA14_08670,944.4022703959379,PA14_08690,16.33362392654653,PA14_12910
8,142.51210255917889,PA14_21800,493.8682932788662,PA14_08690,67.31188312640035,PA14_20500,71.8855977899969,PA14_20500
9,844.9537044914478,PA14_21810,36.754486452406084,PA14_20500,136.02891354893285,PA14_21800,81.10991548232481,PA14_21800
10,449.4536658505699,PA14_23490,58.86713556138026,PA14_21800,1087.164878896097,PA14_21810,727.2030841804192,PA14_21810
11,654.7457716145311,PA14_23570,373.6639112654566,PA14_21810,391.6837572395563,PA14_23490,299.1869260522338,PA14_23490
12,1077.2888922531388,PA14_23580,180.5876797106999,PA14_23490,668.9430512646444,PA14_23570,426.7693618534146,PA14_23570
13,552.5742369350376,PA14_24870,292.33102568254554,PA14_23570,1153.2469422528973,PA14_23580,833.2529195677325,PA14_23580
14,899.9006090514523,PA14_27610,507.83632527407923,PA14_23580,536.8717569737512,PA14_24870,420.40646493505005,PA14_24870
15,18.85672222879121,PA14_28190,549.7400350533305,PA14_27610,827.3768975311201,PA14_27610,436.65111450191597,PA14_28740
16,685.5077411122326,PA14_28740,420.12199179287325,PA14_28740,755.5218392117085,PA14_28740,95.3085663879957,PA14_30720
17,109.60423793180199,PA14_30720,53.35103030097308,PA14_30720,113.63545593617535,PA14_30720,260.615574759149,PA14_41330
18,10.292554475874164,PA14_30890,186.5739030257606,PA14_41330,366.4783219924167,PA14_41330,212.18002786339926,PA14_41340
19,2391.0973576354636,PA14_41200,159.9088287280601,PA14_41340,341.5204767432915,PA14_41340,21.561304199163775,PA14_48900
20,371.7218468719641,PA14_41330,23.47063735839168,PA14_48900,1373.835343001583,PA14_52540,1653.6383389606633,PA14_51660
21,332.34145034393646,PA14_41340,1142.3792513234368,PA14_51660,88.20166234565536,PA14_54840,1198.6711855962637,PA14_52540
22,2438.5956637293593,PA14_51660,972.3300573293848,PA14_52540,83.81773289485427,PA14_58710,48.90275424662147,PA14_54840
23,22.69833420266024,PA14_52320,43.28352451688044,PA14_54840,192.76681525160276,PA14_60620,45.50551227390723,PA14_58710
24,1175.5754587025049,PA14_52540,44.8992004609431,PA14_58710,1154.8536233897917,PA14_61760,126.52655196895164,PA14_60620
25,105.58187557935008,PA14_54840,23.881037376019357,PA14_58940,33.25983458436028,PA14_61830,1036.7188645558454,PA14_61760
26,90.69076026843334,PA14_58710,171.82701590475887,PA14_60620,332.9943442032576,PA14_62790,23.151745018181977,PA14_61830
27,278.7711897387215,PA14_60620,658.4646534547346,PA14_61760,82.0173512773262,PA14_68030,246.3009805118362,PA14_62790
28,1266.3676418116615,PA14_61760,34.768129446121826,PA14_61830,35.20733270747243,PA14_68150,48.472548451900266,PA14_68030
29,28.77712721701465,PA14_61830,294.9795367096994,PA14_62790,,,24.736273239269085,PA14_68150
30,306.6749914885939,PA14_62790,38.912944040521374,PA14_68030,,,,
31,84.71136502639082,PA14_68030,16.96334517818624,PA14_68150,,,,
32,28.903789476544496,PA14_68150,,,,,,
